afollestad/material-dialogs,,,,,,
number,합병,해결안제시,SBR유무,comment,,
13,,,x,,13,1
49,,,x,,49,1
66,,,x,,66,1
84,,,x,,84,1
86,,,x,이유 없이 닫힘,86,1
119,,,x,,119,1
130,,,x,,130,1
135,,,x,,135,1
141,,,x,,141,1
154,,,x,,154,1
161,,,x,,161,1
162,,,x,,162,1
175,,,x,,175,1
191,,,x,,191,1
194,,,x,,194,1
206,,,x,,206,1
212,,,x,,212,1
223,,,x,,223,1
233,,,x,,233,1
244,,,o,exception handling,244,1
247,,,x,,247,1
251,,,x,,251,1
252,,,x,,252,1
256,,,x,,256,1
257,,,x,,257,1
261,,,x,,261,1
271,,,x,,271,1
272,,,x,,272,1
275,,,x,,275,1
279,,,x,,279,1
298,,,x,,298,1
333,,,x,,333,1
343,,,o,exception handling,343,1
361,,,x,,361,1
365,,,x,,365,1
373,,,o,exception handling,373,1
379,,,x,,379,1
389,,,x,,389,1
395,,,x,,395,1
399,,,x,,399,1
410,,,x,,410,1
413,,,x,,413,1
414,,,x,,414,1
421,,,x,,421,1
422,,,x,,422,1
437,,,x,,437,1
439,,,x,,439,1
444,,,x,,444,1
449,,,o,exception/leak,449,1
457,,,x,,457,1
482,,,x,,482,1
491,,,x,exception,491,1
512,,,x,,512,1
514,,,x,,514,1
517,,,x,,517,1
520,,,x,,520,1
534,,,x,,534,1
543,,,x,,543,1
552,,,x,,552,1
559,,,x,,559,1
561,,,o,exception handling,561,1
566,,,x,,566,1
581,,,x,,581,1
582,,,x,,582,1
589,,,x,,589,1
622,,,x,,622,1
628,,,x,,628,1
636,,,x,,636,1
674,,,x,,654,1
685,,,x,,674,1
693,,,x,,680,1
700,,,x,,685,1
708,,,x,,693,1
715,,,x,,700,1
737,,,x,,708,1
747,,,x,,712,1
771,,,o,exception handling,714,1
776,,,x,,715,1
777,,,x,,737,1
780,,,x,,747,1
782,,,x,,766,1
790,,,x,,771,1
797,,,x,,776,1
815,,,x,,777,1
816,,,x,,780,1
819,,,x,exception handling,782,1
848,,,x,,790,1
851,,,o,exception handling,794,1
852,,,x,,797,1
854,,,x,,798,1
878,,,x,user,815,1
925,,,x,,816,1
978,,,x,,819,1
983,,,x,,848,1
1013,,,x,,851,1
1026,,,x,,852,1
1099,,,x,,854,1
1106,,,x,,878,1
1116,,,x,,925,1
1119,,,x,,941,1
1136,,,x,,978,1
1144,,,x,,983,1
1162,,,x,,989,1
1184,,,x,,998,1
1188,,,x,,1013,1
1222,,,x,,1026,1
1244,,,o,exception/dir,1046,1
1256,,,x,,1056,1
1261,,,x,,1099,1
1275,,,x,,1106,1
1278,,,x,,1109,1
1289,,,x,,1116,1
1313,,,x,,1119,1
1320,,,x,,1120,1
1328,,,x,,1131,1
1349,,,o,exception handling,1136,1
1384,,,x,,1144,1
,,,,,1150,1
,,,9,,1153,1
,,,,,1162,1
,,,,,1173,1
,,,,,1174,1
,,,,,1184,1
,,,,,1185,1
,,,,,1188,1
,,,,,1193,1
,,,,,1216,1
,,,,,1219,1
,,,,,1222,1
,,,,,1244,1
,,,,,1255,1
,,,,,1256,1
,,,,,1261,1
,,,,,1275,1
,,,,,1278,1
,,,,,1287,1
,,,,,1288,1
,,,,,1289,1
,,,,,1309,1
,,,,,1313,1
,,,,,1318,1
,,,,,1320,1
,,,,,1321,1
,,,,,1328,1
,,,,,1349,1
,,,,,1365,1
,,,,,1376,1
,,,,,1384,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
