bumptech/glide,,,,,,
number,합병,해결안제시,SBR유무,comment,,
3,,,x,,3,1
8,,,x,,8,1
15,,,x,,15,1
16,,,x,,16,1
17,,,x,,17,1
19,,,o,exception handling,19,1
20,,,x,,20,1
22,,,o,memory,22,1
23,,,o,exception handling,23,1
27,,,x,,27,1
28,,,x,,28,1
32,,,x,,32,1
33,,,x,,33,1
40,,,x,,40,1
53,,,o,exception handling,53,1
56,,,x,,56,1
62,,,x,,62,1
65,,,x,,65,1
67,,,o,memory,67,1
71,,,x,,71,1
74,,,o,memory,74,1
76,,,x,,76,1
82,,,o,exception handling,82,1
83,,,o,memory,83,1
84,,,o,connection,84,1
86,,,x,,86,1
88,,,x,,88,1
91,,,x,,91,1
97,,,x,,97,1
106,,,x,,106,1
117,,,x,,117,1
118,,,x,,118,1
119,,,x,,119,1
123,,,x,,123,1
126,,,x,,126,1
128,,,x,,128,1
129,,,x,,129,1
130,,,x,,130,1
131,,,x,,131,1
133,,,x,,133,1
134,,,x,,134,1
136,,,o,exception handling,136,1
140,,,x,,140,1
142,,,x,,142,1
145,,,x,,145,1
146,,,x,,146,1
147,,,x,,147,1
148,,,x,,148,1
156,,,x,,156,1
157,,,x,,157,1
158,,,x,,158,1
159,,,x,,159,1
161,,,o,connection,161,1
162,,,o,exception handling,162,1
167,,,x,exception handling,167,1
168,,,x,,168,1
171,,,o,exception handling,171,1
172,,,x,,172,1
174,,,x,,174,1
175,,,x,,175,1
180,,,x,,180,1
181,,,x,,181,1
187,,,x,,187,1
191,,,o,term,191,1
194,,,x,,194,1
195,,,x,,195,1
196,,,x,,196,1
199,,,x,,199,1
201,,,x,,201,1
202,,,x,,202,1
203,,,o,term,203,1
204,,,x,,204,1
205,,,x,,205,1
206,,,x,,206,1
207,,,x,,207,1
210,,,o,term,210,1
212,,,x,,212,1
214,,,x,,214,1
216,,,x,,216,1
217,,,x,,217,1
219,,,x,,219,1
220,,,x,,220,1
222,,,x,,222,1
224,,,x,,224,1
225,,,x,,225,1
227,,,x,,227,1
231,,,x,,231,1
234,,,x,,234,1
235,,,x,,235,1
236,,,x,,236,1
237,,,x,,237,1
244,,,x,,244,1
247,,,x,,247,1
249,,,x,,249,1
253,,,x,,253,1
257,,,o,exception handling,257,1
258,,,o,memory,258,1
263,,,x,,263,1
266,,,o,exception handling,266,1
270,,,x,,270,1
276,,,x,,276,1
278,,,x,,278,1
279,,,x,,279,1
280,,,x,,280,1
282,,,x,,282,1
283,,,o,exception handling,283,1
284,,,x,,284,1
286,,,o,exception handling,286,1
288,,,x,,288,1
292,,,x,,292,1
294,,83,o,memory,294,1
295,,,x,,295,1
296,,,x,,296,1
298,,,x,,298,1
299,,,x,,299,1
301,,,x,,301,1
303,,,o,exception handling,303,1
305,,,x,,305,1
309,,,x,,309,1
310,,,x,,310,1
312,,,x,,312,1
314,,,o,exception handling,314,1
320,,,x,,320,1
322,,,o,exception handling,322,1
325,,,x,,325,1
329,,,o,exception handling,329,1
330,,,x,,330,1
331,,,o,exception handling,331,1
333,,,x,,333,1
334,,,x,,334,1
335,,,x,,335,1
344,,,x,,344,1
346,,,x,,346,1
347,,,o,exception handling,347,1
349,,,x,,349,1
351,,329,o,,351,1
356,,,x,,356,1
358,,,x,,358,1
360,,,o,exception handling,360,1
361,,,x,,361,1
364,,,x,,364,1
366,,,x,,366,1
370,,,x,,370,1
372,,,x,,372,1
374,,,x,,374,1
375,,,o,exception handling,375,1
379,,,x,,379,1
384,,,x,,384,1
385,,,x,,385,1
386,,,x,,386,1
387,,,o,connection,387,1
388,,,x,,388,1
392,,,x,,392,1
398,,,x,,398,1
400,,,x,,400,1
402,,,x,,402,1
403,,,x,,403,1
404,,,x,,404,1
409,,,x,,409,1
412,,,x,,412,1
413,,,o,term,413,1
419,,,x,,419,1
423,,,x,,423,1
424,,,x,,424,1
425,,,x,,425,1
427,,,x,,427,1
434,,,x,,434,1
435,,,x,,435,1
436,,,x,,436,1
440,,,x,,440,1
448,,,x,,448,1
454,,,o,url,454,1
455,,,x,,455,1
457,,,x,,457,1
465,,,x,,465,1
470,,,x,,470,1
474,,,x,,474,1
496,,,x,,496,1
497,,,o,exception handling,497,1
499,,,x,,499,1
507,,,x,,507,1
508,,,x,,508,1
515,,,x,,515,1
529,,,x,,529,1
532,,,x,,532,1
539,,,x,,539,1
542,,,x,,542,1
546,,,x,,546,1
561,,,x,,561,1
572,,,o,exception handling,572,1
578,,,x,,578,1
586,,,x,,586,1
592,,,x,,592,1
596,,,o,exception handling,596,1
625,,,x,,625,1
628,,,x,,628,1
637,,,x,,637,1
638,,,x,,638,1
683,,,x,,683,1
684,,,x,,684,1
687,,,x,,687,1
690,,,o,memory,690,1
698,,,x,,698,1
708,,,x,,708,1
722,,,o,exception handling,722,1
738,,,x,,738,1
743,,,x,,743,1
794,,,x,,794,1
804,,,x,,804,1
829,,,x,,829,1
836,,,x,,836,1
850,,,o,exception handling,850,1
868,,,x,,868,1
870,,,x,,870,1
888,,,x,,888,1
894,,,x,,894,1
895,,,o,memory,895,1
899,,,x,,899,1
928,,,x,,928,1
931,,,x,,931,1
939,,,x,,939,1
940,,,x,,940,1
941,,,x,,941,1
943,,,x,,943,1
957,,,x,,957,1
970,,,x,,970,1
1003,,,x,,1003,1
1005,,,x,,1005,1
1032,,,x,,1032,1
1043,,,x,,1043,1
1044,,,o,memory,1044,1
1049,,,x,,1049,1
1059,,,x,,1059,1
1060,,,x,,1060,1
1061,,,x,,1061,1
1063,,,x,,1063,1
1068,,,x,,1068,1
1070,,,o,term,1070,1
1086,,,o,exception handling,1086,1
1087,,,x,,1087,1
1145,,,x,,1145,1
1168,,,x,,1161,1
1170,,,x,,1168,1
1172,,,x,,1170,1
1213,,,x,,1172,1
1227,,,x,,1213,1
1233,,,x,,1227,1
1259,,,x,,1233,1
1266,,,x,,1259,1
1267,,,x,,1266,1
1269,,,x,,1267,1
1271,,,x,,1269,1
1277,,,o,memory,1271,1
1289,,,x,,1277,1
1328,,,x,,1289,1
1364,,,x,,1328,1
1386,,,o,exception handling,1364,1
1393,,,x,,1386,1
1396,,,x,,1393,1
1405,,,o,security,1396,1
1418,,,x,,1405,1
1441,,,o,term,1418,1
1464,,,x,,1441,1
1494,,,o,exception handling,1464,1
1503,,,x,,1494,1
1509,,,x,,1503,1
1510,,,o,exception handling,1509,1
1523,,,x,,1510,1
1527,,,x,,1523,1
1561,,,x,,1527,1
1592,,,o,exception handling,1561,1
1593,,,x,,1592,1
1606,,,x,,1593,1
1612,,,x,,1606,1
1649,,,x,,1612,1
1656,,,x,,1649,1
1664,,,x,,1656,1
1677,,,x,,1664,1
1700,,,x,,1677,1
1705,,,x,,1700,1
1724,,,x,,1705,1
1775,,,o,exception handling,1724,1
1893,,,x,,1775,1
1906,,,x,,1893,1
1938,,,x,,1906,1
1967,,,o,exception handling,1938,1
1971,,,x,,1967,1
1972,,,x,,1971,1
1975,,,x,,1972,1
1977,,,x,,1975,1
1985,,,x,,1977,1
1987,,,x,,1985,1
1991,,,x,,1987,1
1993,,,o,exception handling,1991,1
1996,,,o,term,1993,1
2000,,,x,,1996,1
2028,,,o,exception handling,2000,1
2053,,,x,,2028,1
2059,,,x,,2053,1
2132,,,x,,2059,1
2236,,,o,term,2132,1
2237,,,x,,2236,1
2240,,,x,,2237,1
2258,,,o,exception handling,2240,1
2262,,,o,exception handling,2258,1
2266,,,x,,2262,1
2271,,,x,,2266,1
2318,,,x,,2271,1
2322,,,x,,2318,1
2326,,,x,,2322,1
2328,,,x,,2326,1
2331,,,x,,2328,1
2322,,,x,,2331,1
2345,,,x,,2332,1
2352,,,o,term,2345,1
2370,,,x,,2352,1
2383,,,x,,2370,1
2394,,,x,,2383,1
2406,,,x,,2394,1
2407,,,x,,2406,1
2413,,,x,,2407,1
2431,,,x,,2413,1
2434,,,x,,2431,1
2436,,,x,,2434,1
2452,,,x,,2436,1
2459,,,x,,2452,1
2462,,,o,exception handling,2459,1
2465,,,x,,2462,1
2470,,,o,memory,2465,1
2472,,,x,,2470,1
2511,,,x,,2472,1
2526,,,x,,2511,1
2541,,,x,,2526,1
2547,,,x,,2541,1
2548,,,x,,2547,1
2555,,,x,,2548,1
2560,,,o,memory,2555,1
2562,,,o,exception handling,2560,1
2574,,,o,exception handling,2562,1
2583,,,x,,2574,1
2591,,,x,,2583,1
2595,,,x,,2591,1
2638,,,x,,2595,1
2663,,,o,memory,2638,1
2673,,,x,,2663,1
2689,,,x,,2673,1
2696,,,o,exception handling,2689,1
2698,,,x,,2696,1
2708,,,x,,2698,1
2760,,,x,,2708,1
2767,,,o,exception handling,2760,1
2798,,,o,memory,2767,1
2812,,,o,term,2798,1
2818,,,o,exception handling,2812,1
2824,,,x,,2818,1
2863,,,x,,2824,1
2879,,,x,,2863,1
2917,,,x,,2879,1
3015,,,x,,2917,1
3068,,,x,,3015,1
,,,,,3068,1
,,,71,,,
