번호,합병,해결안제시,SBR유무,Comment,,
174,,,x,,329,0
329,,,x,,409,1
409,,,x,체계화가 필요할듯,508,1
508,,,x,,519,1
519,,,x,,815,1
815,,,x,,826,1
826,,,x,,976,1
976,,,x,,1033,1
1033,,,x,,1039,1
1039,,,x,,1065,1
1065,,,x,,1164,1
1164,,,x,,1262,1
1262,,,x,,1277,1
1277,,,x,,1317,1
1317,,,x,,1348,1
1348,,,x,,1422,1
1422,,,x,,1424,1
1424,,,x,,1429,1
1429,,,x,,1433,1
1433,,,x,,1442,1
1442,,,x,,1448,1
1448,,,x,,1460,1
1460,,,x,,1463,1
1463,,,x,,1503,1
1503,,,o,password,1504,1
1504,,,x,,1522,1
1522,,,x,,1526,1
1526,,,x,,1543,1
1543,,,x,,1568,1
1568,,,x,,1573,1
1573,,,x,,1600,1
1600,,,o,password,1626,1
1626,,,x,,1647,1
1647,,,x,,1655,1
1655,,,x,,1679,1
1679,,,x,,1712,1
1712,,,x,,1714,1
1714,,,x,,1719,1
1719,,,x,,1759,1
1759,,,x,,1760,1
1760,,,x,,1762,1
1762,,,x,,1813,1
1813,,,x,,1815,1
1815,,,x,,1873,1
1873,,,x,,1875,1
1875,,,x,,1883,1
1883,,,x,,1889,1
1889,,,x,,1893,1
1893,,,x,,1926,1
1926,,,x,,1939,1
1939,,,x,,1967,1
1967,,,x,,1979,1
1979,,,x,,1986,1
1986,,,o,term,2017,1
2017,,,x,,2031,1
2031,,,x,,2077,1
2077,,,x,,2113,1
2113,,,x,,2116,1
2116,,,x,,2328,1
2328,,,x,,2354,1
2354,,,x,,2422,1
2422,,,o,password,2452,1
2452,,,x,,2462,1
2462,,,x,,2464,1
2464,,,o,term,2465,1
2465,,,x,,2466,1
2466,,,x,,2468,1
2468,,,o,term,2470,1
2470,,,x,,2473,1
2473,,,x,,2474,1
2474,,,o,term,2477,1
2477,,,x,,2648,1
2648,,,x,,2670,1
2670,,,x,,2712,1
2712,,,x,,2732,1
2732,,,x,,2746,1
2746,,,x,,2845,1
2845,,,o,connection,3036,1
3036,,,o,term,3188,1
3188,,,x,,3193,1
3193,,,x,,3238,1
3238,,,x,,3361,1
3361,,,x,,3368,1
3368,,,x,,3429,1
3429,,,x,,3486,1
3486,,,o,connection,3603,1
3603,,,x,,3635,1
3635,,,x,,3639,1
3639,,,x,,3644,1
3644,,,x,,3648,1
3648,,,x,,3661,1
3661,,,x,,3664,1
3664,,,x,,3720,1
3720,,,x,,3735,1
3735,,,x,,3752,1
3752,,,x,,3769,1
3769,,,o,term,3788,1
3788,,,x,,3797,1
3797,,,x,,3837,1
3837,,,x,,3856,1
3856,,,x,,3875,1
3875,,,x,,3883,1
3883,,,x,,3886,1
3886,,,x,,3888,1
3888,,,o,connection,3889,1
3889,,,x,,3892,1
3892,,,x,,3906,1
3906,,,x,,3921,1
3921,,,x,,3922,1
3922,,,x,,3924,1
3924,,,x,,3928,1
3928,,,x,,3945,1
3945,,,x,,3953,1
3953,,,o,term,3969,1
3969,,,x,,3970,1
3970,,,x,,3996,1
3996,,,o,term,4027,1
4027,,,x,,4047,1
4047,,,x,,4049,1
4049,,,o,term,4052,1
4052,,,x,,4059,1
4059,,,x,,4064,1
4064,,,x,,4072,1
4072,,,x,,4073,1
4073,,,x,,4079,1
4079,,,x,,4087,1
4087,,,x,,4088,1
4088,,,x,,4092,1
4092,,,x,,4099,1
4099,,,x,,4103,1
4103,,,x,,4108,1
4108,,,x,,4114,1
4114,,,x,,4134,1
4134,,,x,,4166,1
4166,,,x,,4177,1
4177,,,x,,4194,1
4194,,,x,,4198,1
4198,,,o,term,4211,1
4211,,,o,security,4216,1
4216,,,x,,4218,1
4218,,,x,,4225,1
4225,,,x,,4241,1
4241,,,x,,4255,1
4255,,,x,,4263,1
4263,,,x,,4287,1
4287,,,x,,4295,1
4295,,,o,term,4316,1
4316,,,x,,4336,1
4336,,,x,,4385,1
4385,,,o,term,4397,1
4397,,,o,connection,4423,1
4423,,,x,,4427,1
4427,,,x,,4453,1
4453,,,x,,4468,1
4468,,,x,,4482,1
4482,,,x,,4501,1
4501,,,x,,4524,1
4524,,,x,,4586,1
4586,,,x,,4590,1
4590,,,o,term,4610,1
4610,,,x,,4626,1
4626,,,x,,4642,1
4642,,,x,,4655,1
4655,,,x,,4673,1
4673,,,x,,4674,1
4674,,,x,,4695,1
4695,,,x,,4700,1
4700,,,x,,4707,1
4707,,,x,,4715,1
4715,,,x,,4718,1
4718,,,x,,4729,1
4729,,,x,,4734,1
4734,,,x,,4736,1
4736,,,x,,4748,1
4748,,,x,,4768,1
4768,,,x,,4782,1
4782,,,x,,4797,1
4797,,,x,,4798,1
4798,,,x,,4816,1
4816,,,x,,4821,1
4821,,,x,,4823,1
4823,,,o,term,4826,1
4826,,,x,,4827,1
4827,,,x,,4840,1
4840,,,x,,4848,1
4848,,,x,,4851,1
4851,,,x,,4858,1
4858,,,x,,4859,1
4859,,,x,,4862,1
4862,,,x,,4866,1
4866,,,o,term,4885,1
4885,,,x,,4893,1
4893,,,x,,4907,1
4907,,,x,,4914,1
4914,,,x,,4946,1
4946,,,x,,4990,1
4990,,,x,,5010,1
5010,,,x,,5013,1
5013,,,x,,5028,1
5028,,,x,,5044,1
5044,,,x,,5045,1
5045,,,x,,5049,1
5049,,,x,,5076,1
5076,,,x,,5109,1
5109,,,x,,5125,1
5123,,,x,,5163,0
5163,,,x,,5200,1
5200,,,x,,5203,1
5203,,,x,,5206,1
5206,,,o,exception handling,5263,1
5263,,,x,,5285,1
5285,,,x,,5295,1
5295,,,x,,5309,1
5309,,,x,,5333,1
5333,,,x,,5355,1
5355,,,x,,5379,1
5379,,,x,,5381,1
5381,,,x,,5384,1
5384,,,o,term,5386,1
5386,,,o,term,5389,1
5389,,,x,,5394,1
5394,,,x,,5430,1
5430,,,x,,5431,1
5431,,,x,,5437,1
5437,,,x,,5498,1
5498,,,x,,5502,1
5502,,,x,,5603,1
5603,,,x,,5669,1
5669,,,x,,5696,1
5696,,,x,,5700,1
5700,,,x,,5729,1
5729,,,x,,5742,1
5742,,,x,,5757,1
5757,,,x,,5767,1
5767,,,x,,5776,1
5776,,,x,,5827,1
5827,,,x,,5851,1
5851,,,x,,5859,1
5859,,,x,,5901,1
5901,,,x,,5909,1
5909,,,x,,5910,1
5910,,,o,expose,5952,1
5952,,,x,,5976,1
5976,,,x,,5986,1
5986,,,x,,6058,1
6058,,,x,,6090,1
6090,,,x,,6095,1
6095,,,o,term,6097,1
6097,,,x,,6099,1
6099,,,x,,6124,1
6124,,,x,,6128,1
6128,,,x,,6138,1
6138,,,x,,6151,1
6151,,,x,,6152,1
6152,,,x,,6178,1
6178,,,x,,6207,1
6207,,,x,,6219,1
6219,,,x,,6223,1
6223,,,x,,6226,1
6226,,,x,,6233,1
6233,,,x,,6237,1
6237,,,x,,6264,1
6264,,,o,exception handling,6275,1
6275,,,x,,6278,1
6278,,,x,,6284,1
6284,,,x,,6285,1
6285,,,x,,6289,1
6289,,,x,,6306,1
6306,,,x,,6308,1
6308,,,x,,6330,1
6330,,,x,,6343,1
6343,,,x,,6375,1
6375,,,o,term,6376,1
6376,,,x,,6425,1
6425,,,x,,6455,1
6455,,,x,connection,6478,1
6478,,,x,,6481,1
6481,,,x,,6626,1
6626,,,x,term,6648,1
6648,,,x,,6690,1
6690,,,x,,6758,1
6758,,,o,term,6765,1
6765,,,x,,6781,1
6781,,,x,,6796,1
6796,,,x,,6810,1
6810,,,o,,6815,1
6815,,,x,,6818,1
6818,,,x,,6822,1
6822,,,o,,6866,1
6866,,,o,term,6873,1
6873,,,x,,6891,1
6891,,,x,,6892,1
6892,,,x,,6899,1
6899,,,x,,6913,1
6913,,,x,,6951,1
6951,,,o,,6968,1
6968,,,x,,6974,1
6974,,,x,,6981,1
6981,,,x,,6987,1
6987,,,x,,6998,1
6998,,,x,,7023,1
7023,,,x,,7283,1
7283,,,x,,7373,1
7373,,,x,,7513,1
7513,,,o,term,7518,1
7518,,,x,,7645,1
7645,,,x,,7651,1
7651,,,x,,7663,1
7663,,,x,,7685,1
7685,,,o,,7703,1
7703,,,x,,7716,1
7716,,,x,,7765,1
7765,,,x,,7772,1
7772,,,x,,7782,1
7782,,,x,,7787,1
7787,,,x,,7935,1
7935,,,x,,7937,1
7937,,,o,,7954,1
7954,,,o,,7971,1
7971,,,x,,7979,1
7979,,,x,,8026,1
8026,,,x,,8039,1
8039,,,x,,8063,1
8063,,,x,,8075,1
8075,,,x,,8076,1
8076,,,x,,8194,1
8194,,,x,,8216,1
8216,,,x,,8231,1
8231,,,o,,8307,1
8307,,,x,term,8332,1
8332,,,x,term,8379,1
8379,,,x,,8402,1
8402,,,x,,8543,1
8543,,,x,,8548,1
8548,,,x,,8580,1
8580,,,x,key,8635,1
8635,,,x,,8810,1
8810,,,x,,8947,1
8947,,,x,,8958,1
8958,,,x,,8978,1
8978,,,x,,8992,1
8992,,,x,,9009,1
9009,,,x,,9019,1
9019,,,x,,9094,1
9094,,,x,,9164,1
9164,,,x,,9292,1
9292,,,o,,9410,1
9410,,,x,,9467,1
9467,,,x,,9485,1
9485,,,x,,9521,1
9521,,,x,exception handling,9528,1
9528,,,x,,9542,1
9542,,,x,connection,9648,1
9648,,,x,,9655,1
9655,,,o,term,9661,1
9661,,,x,,9662,1
9662,,,x,,9684,1
9684,,,x,,9761,1
9761,,,x,,9764,1
9764,,,x,term,9890,1
9890,,,x,,10032,1
10032,,,x,,10043,1
10043,,,x,,10059,1
10059,,,x,,10075,1
10075,,,x,,10082,1
10082,,,x,,10163,1
10163,,,x,,10228,1
10228,,,x,,10231,1
10231,,,x,,10237,1
10237,,,x,,10259,1
10259,,,x,,10315,1
10315,,,x,,10338,1
10338,,,x,,10354,1
10354,,,x,,10358,1
10358,,,x,,10414,1
10414,,,x,,10438,1
10438,,,x,,10440,1
10440,,,x,,10489,1
10489,,10490,x,term,10556,1
10556,,,x,,10579,1
10579,,,x,,10778,1
10778,,,x,,10805,1
10805,,,x,,10894,1
10894,,,x,,10967,1
10967,,,x,,11009,1
11009,,,x,,11017,1
11017,,,x,,11027,1
11027,,,x,,11062,1
11062,,,x,,11085,1
11085,,,o,term,11092,1
11092,,,x,,11094,1
11094,,,x,,11252,1
11252,,,x,,11266,1
11266,,,x,,11317,1
11317,,,o,,11348,1
11348,,,x,,11369,1
11369,,,x,,11402,1
11402,,,x,,11420,1
11420,,,x,,11435,1
11435,,,x,,11495,1
11495,,,o,term,11503,1
11503,,,x,,11519,1
11519,,,x,,11528,1
11528,,,x,term,11584,1
11584,,,x,,11585,1
11585,,,x,,11606,1
11606,,,x,,11659,1
11659,,,o,term,11700,1
11700,,,x,,11707,1
11707,,,x,,11711,1
11711,,,x,,11714,1
11714,,,x,term,11721,1
11721,,,x,,11724,1
11724,,,x,,11746,1
11746,,,x,,11768,1
11768,,,x,,11769,1
11769,,,x,,11800,1
11800,,,x,,11803,1
11803,,,x,exception,11813,1
11813,,,x,,11825,1
11825,,,x,,11828,1
11828,,,x,,11855,1
11855,,,x,term,11858,1
11858,,,x,,11872,1
11872,,,x,,11885,1
11885,,,o,term,11905,1
11905,,,x,,11981,1
11981,,,x,,12042,1
12042,,,x,,12053,1
12053,,,x,,12081,1
12081,,,x,,12110,1
12110,,,x,,12132,1
12132,,,o,,12170,1
12170,,,x,,12337,1
12337,,,x,term,12442,1
12628,,,x,,12628,1
12731,,,x,,,0
12820,,,x,,,0
,,,,,,
,,,48,,,
